"lon"	"lat"	"name"	"dataset"
-19.7629366256297	65.4399904701859	"VP-01"	"VP"
-19.722948493436	65.4139942489564	"VP-02"	"VP"
-19.7083501517773	65.4292668309063	"VP-03"	"VP"
-19.6713906526566	65.4450150858611	"VP-04"	"VP"
-19.6143953036517	65.4536069557071	"VP-05"	"VP"
-19.5691840723157	65.4611559491605	"VP-06"	"VP"
-19.6030137687922	65.4340898618102	"VP-07"	"VP"
-19.6260655950755	65.4184162896127	"VP-08"	"VP"
-19.6428397111595	65.4068111255765	"VP-09"	"VP"
-19.5640167128295	65.4053217452019	"VP-10"	"VP"
-19.7728474717587	65.4456247016788	"BBS01-00"	"BBS"
-19.7720806114376	65.4447864275426	"BBS01-01"	"BBS"
-19.7713138349354	65.4439481534064	"BBS01-02"	"BBS"
-19.7705471422523	65.4431098792702	"BBS01-03"	"BBS"
-19.7697804495692	65.442271605134	"BBS01-04"	"BBS"
-19.7690138407052	65.4414333309978	"BBS01-05"	"BBS"
-19.7682472318411	65.4405950568616	"BBS01-06"	"BBS"
-19.7674807067961	65.4397567827255	"BBS01-07"	"BBS"
-19.76671426557	65.4389185085893	"BBS01-08"	"BBS"
-19.765947824344	65.4380802344531	"BBS01-09"	"BBS"
-19.7651844844222	65.437234332785	"BBS01-10"	"BBS"
-19.7577036358416	65.4289629030973	"BBS02-10"	"BBS"
-19.7569480910897	65.4281229525805	"BBS02-11"	"BBS"
-19.7561926301569	65.4272830020636	"BBS02-12"	"BBS"
-19.755437169224	65.4264430515468	"BBS02-13"	"BBS"
-19.7546817921102	65.425603017211	"BBS02-14"	"BBS"
-19.7539264149964	65.4247630666941	"BBS02-15"	"BBS"
-19.7531711217016	65.4239231161773	"BBS02-16"	"BBS"
-19.7524159122258	65.4230830818415	"BBS02-17"	"BBS"
-19.7516607027501	65.4222431313246	"BBS02-18"	"BBS"
-19.7509055770934	65.4214030969888	"BBS02-19"	"BBS"
-19.7501607611775	65.4205626435578	"BBS02-20"	"BBS"
-19.745365222916	65.4149406496435	"BBS03-20"	"BBS"
-19.7446808405221	65.4140902217478	"BBS03-21"	"BBS"
-19.7439965419471	65.413239793852	"BBS03-22"	"BBS"
-19.7433122433722	65.4123893659562	"BBS03-23"	"BBS"
-19.7426279447973	65.4115389380604	"BBS03-24"	"BBS"
-19.7419438138604	65.4106885101646	"BBS03-25"	"BBS"
-19.7412595991045	65.4098380822688	"BBS03-26"	"BBS"
-19.7405755519867	65.408987654373	"BBS03-27"	"BBS"
-19.7398915048689	65.4081372264773	"BBS03-28"	"BBS"
-19.739207457751	65.4072867985815	"BBS03-29"	"BBS"
-19.7385421860963	65.406429246068	"BBS03-30"	"BBS"
-19.6501998603344	65.4454781860113	"BBS04-30"	"BBS"
-19.6481922268867	65.445804996416	"BBS04-31"	"BBS"
-19.6461845096201	65.4461318068206	"BBS04-32"	"BBS"
-19.6441767923534	65.4464585334063	"BBS04-33"	"BBS"
-19.6421689912677	65.4467852599919	"BBS04-34"	"BBS"
-19.640161190182	65.4471119865775	"BBS04-35"	"BBS"
-19.6381533052772	65.4474387131631	"BBS04-36"	"BBS"
-19.6361453365535	65.4477653559297	"BBS04-37"	"BBS"
-19.6341373678297	65.4480919148773	"BBS04-38"	"BBS"
-19.6321293152869	65.4484185576439	"BBS04-39"	"BBS"
-19.6301297284663	65.4487437754869	"BBS04-40"	"BBS"
-19.6461385767907	65.4340388160199	"BBS05-40"	"BBS"
-19.6478314697742	65.4345937818289	"BBS05-41"	"BBS"
-19.6495244465768	65.4351487476379	"BBS05-42"	"BBS"
-19.6512174233794	65.4357036296278	"BBS05-43"	"BBS"
-19.652910484001	65.4362585954368	"BBS05-44"	"BBS"
-19.6546036284417	65.4368134774268	"BBS05-45"	"BBS"
-19.6562968567014	65.4373683594167	"BBS05-46"	"BBS"
-19.6579901687801	65.4379232414067	"BBS05-47"	"BBS"
-19.6596834808588	65.4384780395776	"BBS05-48"	"BBS"
-19.6613769605756	65.4390329215676	"BBS05-49"	"BBS"
-19.66308276169	65.4395800922066	"BBS05-50"	"BBS"
-19.6095312014222	65.4440692719072	"BBS06-50"	"BBS"
-19.6109817735851	65.4434057604522	"BBS06-51"	"BBS"
-19.6124322619289	65.4427423328161	"BBS06-52"	"BBS"
-19.6138827502728	65.4420788213611	"BBS06-53"	"BBS"
-19.6153330709785	65.441415309906	"BBS06-54"	"BBS"
-19.6167833916843	65.4407517984509	"BBS06-55"	"BBS"
-19.618233628571	65.4400882031769	"BBS06-56"	"BBS"
-19.6196837816387	65.4394246917218	"BBS06-57"	"BBS"
-19.6211338508874	65.4387610964477	"BBS06-58"	"BBS"
-19.6225838363171	65.4380975011736	"BBS06-59"	"BBS"
-19.6240395214409	65.4374313075095	"BBS06-60"	"BBS"
-19.5816730242223	65.4531194642186	"BBS07-60"	"BBS"
-19.5811036415398	65.4522543679923	"BBS07-61"	"BBS"
-19.5805343426764	65.4513892717659	"BBS07-62"	"BBS"
-19.579964959994	65.4505241755396	"BBS07-63"	"BBS"
-19.5793957449496	65.4496591631323	"BBS07-64"	"BBS"
-19.5788264460862	65.448794066906	"BBS07-65"	"BBS"
-19.5782573148608	65.4479289706796	"BBS07-66"	"BBS"
-19.5776880998164	65.4470638744533	"BBS07-67"	"BBS"
-19.5771189685911	65.4461986944079	"BBS07-68"	"BBS"
