"lat"	"lon"	"elevation"	"timestamps"
65.4603972192854	-19.7286550607532	-2.91	2023-03-01 09:19:50
65.4602938704193	-19.7285087127239	-2.98	2023-03-01 09:19:51
65.4600092209876	-19.7280617058277	3.62	2023-03-01 09:19:53
65.4598697461188	-19.7278472129256	8.63	2023-03-01 09:19:54
65.4597316961735	-19.7276328876615	14.03	2023-03-01 09:19:55
65.4595962446183	-19.7274375893176	19.06	2023-03-01 09:19:56
65.4594629723579	-19.7272555343807	23.87	2023-03-01 09:19:57
65.4593298677355	-19.7270828671753	28.51	2023-03-01 09:19:58
65.4592058155686	-19.726925957948	33.01	2023-03-01 09:19:59
65.4590780753642	-19.7267447412014	37.41	2023-03-01 09:20:00
65.4589507542551	-19.7265916038305	41.69	2023-03-01 09:20:01
65.4588255286217	-19.7264517936856	50.42	2023-03-01 09:20:02
65.4586976207793	-19.7263143304735	55.39	2023-03-01 09:20:03
65.4585662763566	-19.7261772025377	59.62	2023-03-01 09:20:04
65.4584321659058	-19.7260449361056	62.65	2023-03-01 09:20:05
65.4582990612835	-19.7259289305657	66.76	2023-03-01 09:20:06
65.4581563174725	-19.7258198820055	75.53	2023-03-01 09:20:07
65.458020279184	-19.7257292736322	75.53	2023-03-01 09:20:08
65.4578741826117	-19.7256479691714	78.88	2023-03-01 09:20:09
65.4577301815152	-19.7255812492222	82.06	2023-03-01 09:20:10
65.4575901199132	-19.7255288623273	85.17	2023-03-01 09:20:11
65.4574453644454	-19.7254783194512	88.19	2023-03-01 09:20:12
65.4571530874819	-19.7253656666726	94.03	2023-03-01 09:20:14
65.456868102774	-19.7252095956355	99.66	2023-03-01 09:20:16
65.4565873928368	-19.7249921690673	105.08	2023-03-01 09:20:18
65.4563276376575	-19.7247547097504	110.24	2023-03-01 09:20:20
65.4560626856983	-19.7245276439935	115.09	2023-03-01 09:20:22
65.4557973984629	-19.7243391349912	119.62	2023-03-01 09:20:24
65.4555342067033	-19.7241347003728	123.83	2023-03-01 09:20:26
65.4552791453898	-19.7238858416677	127.75	2023-03-01 09:20:28
65.4550400096923	-19.7235856857151	131.42	2023-03-01 09:20:30
65.4548079147935	-19.723276309669	134.86	2023-03-01 09:20:32
65.4545774962753	-19.7229324001819	138.05	2023-03-01 09:20:34
65.4542388673872	-19.7223031707108	142.33	2023-03-01 09:20:37
65.4540044255555	-19.721886087209	149.75	2023-03-01 09:20:39
65.4536256473511	-19.7213778086007	153.25	2023-03-01 09:20:42
65.4531038738787	-19.7207699529827	156.78	2023-03-01 09:20:46
65.4525001253933	-19.7200243826956	160.37	2023-03-01 09:20:51
65.4517188481987	-19.7192943189293	163.46	2023-03-01 09:20:57
65.4509782232344	-19.7189213242382	166.68	2023-03-01 09:21:03
65.450300630182	-19.7182587347925	170.23	2023-03-01 09:21:09
65.4501983709633	-19.7181123867631	170.51	2023-03-01 09:21:10
65.4489584360272	-19.716695509851	169.04	2023-03-01 09:21:21
65.4474009107798	-19.7159019950777	169.11	2023-03-01 09:21:33
65.4457016475499	-19.7150576859713	168.07	2023-03-01 09:21:49
65.4454848915339	-19.7149446140975	167.56	2023-03-01 09:21:55
65.4451693128794	-19.7147998586297	167.84	2023-03-01 09:22:05
65.4443180467933	-19.7143681906164	167.76	2023-03-01 09:22:14
65.4430350288749	-19.7131394874305	170.51	2023-03-01 09:22:25
65.4427840746939	-19.7128068096936	171.5	2023-03-01 09:22:27
65.4414969496429	-19.7111031040549	175.15	2023-03-01 09:22:37
65.4413690418005	-19.7109245695174	174.9	2023-03-01 09:22:38
65.4390809498727	-19.7080677654594	176.28	2023-03-01 09:22:56
65.4381859302521	-19.7071797028184	176.61	2023-03-01 09:23:03
65.4367194324732	-19.7059331461787	174.91	2023-03-01 09:23:14
65.4353773221374	-19.7045433428138	176.21	2023-03-01 09:23:25
65.4340966511518	-19.7029518708587	177.24	2023-03-01 09:23:36
65.4329073429108	-19.7019809950143	181.66	2023-03-01 09:23:46
65.4315659031272	-19.7013033181429	180.55	2023-03-01 09:24:00
65.4310861229897	-19.7011156473309	180.09	2023-03-01 09:24:10
65.4307531099766	-19.7009584028274	180.17	2023-03-01 09:24:16
65.4298196174204	-19.7004987392575	183.2	2023-03-01 09:24:31
65.4287287965417	-19.6999198012054	185.5	2023-03-01 09:24:43
65.4277144186199	-19.6987127233297	187.96	2023-03-01 09:24:53
65.4267539363354	-19.6960754413158	190.48	2023-03-01 09:25:05
65.4262221883982	-19.694649009034	187.44	2023-03-01 09:25:12
65.4261440690607	-19.694448010996	187.17	2023-03-01 09:25:13
65.4253140930086	-19.6932276058942	186.68	2023-03-01 09:25:22
65.423716250807	-19.691334720701	187.12	2023-03-01 09:25:37
65.423124153167	-19.6905200835317	190.51	2023-03-01 09:25:42
65.4230061359704	-19.6903583966196	190.56	2023-03-01 09:25:43
65.4224453866482	-19.6895570028573	193.92	2023-03-01 09:25:48
65.4220241960138	-19.6889234147966	197.21	2023-03-01 09:25:52
65.4216206073761	-19.6882614120841	200.75	2023-03-01 09:25:56
65.4213315993547	-19.6877206116915	204.01	2023-03-01 09:25:59
65.4211384803057	-19.6873461920768	204.74	2023-03-01 09:26:01
65.4207489732653	-19.6866266056895	212.01	2023-03-01 09:26:05
65.4204479791224	-19.6860957797617	215.23	2023-03-01 09:26:08
65.4200282134116	-19.6854083798826	217.61	2023-03-01 09:26:12
65.4198061767966	-19.6850809827447	218.64	2023-03-01 09:26:14
65.4188635479659	-19.6837115474045	215.19	2023-03-01 09:26:22
65.4182872921228	-19.6828795596957	211.64	2023-03-01 09:26:27
65.4178280476481	-19.6822503302246	208.3	2023-03-01 09:26:31
65.4174027498811	-19.6815856453031	204.78	2023-03-01 09:26:35
65.4173003230244	-19.681410798803	204.78	2023-03-01 09:26:36
65.4168974049389	-19.6806943975389	197.99	2023-03-01 09:26:40
65.416625328362	-19.6802007872611	196.59	2023-03-01 09:26:43
65.4162550996989	-19.6796160656959	194.53	2023-03-01 09:26:49
65.4155937675387	-19.6792175062001	197.26	2023-03-01 09:27:03
65.4148932080716	-19.6787255723029	197.81	2023-03-01 09:27:15
65.4142172075808	-19.6772997267544	199.32	2023-03-01 09:27:25
65.4141722805798	-19.6771096251905	200.46	2023-03-01 09:27:26
65.4140289500356	-19.6751512773335	199.59	2023-03-01 09:27:37
65.4138711187989	-19.6735127829015	202.22	2023-03-01 09:27:47
65.4133691266179	-19.6716341469437	202.52	2023-03-01 09:28:00
65.4130465909839	-19.6698521543294	202.72	2023-03-01 09:28:13
65.4128347802907	-19.6673649922013	205.32	2023-03-01 09:28:29
65.4128192737699	-19.667176567018	205.53	2023-03-01 09:28:30
65.4125840775669	-19.6644496824592	208.98	2023-03-01 09:28:42
65.4126937128603	-19.6620213612914	209.79	2023-03-01 09:28:52
65.4127618577331	-19.6605895645916	213.27	2023-03-01 09:28:58
65.4127666354179	-19.6603488363326	213.3	2023-03-01 09:28:59
65.4127453453839	-19.6562798414379	213.81	2023-03-01 09:29:14
65.4127155058086	-19.6557247079909	214.26	2023-03-01 09:29:16
65.412573935464	-19.6547372359782	217.85	2023-03-01 09:29:20
65.4125354625285	-19.654506733641	218.13	2023-03-01 09:29:21
65.4124304372817	-19.6522385906428	216.86	2023-03-01 09:29:30
65.4124297667295	-19.6516756620258	217.95	2023-03-01 09:29:32
65.4124316107482	-19.6511346101761	217.06	2023-03-01 09:29:34
65.4124492965639	-19.6506439335644	217.53	2023-03-01 09:29:36
65.412563206628	-19.6494515240192	213.57	2023-03-01 09:29:41
65.4126438405365	-19.6487039420754	211.99	2023-03-01 09:29:44
65.4128187708557	-19.6453143842518	214.66	2023-03-01 09:29:57
65.4128206986934	-19.6439333818853	218.23	2023-03-01 09:30:02
65.4127914458513	-19.643166102469	221.45	2023-03-01 09:30:05
65.4127478599548	-19.6426885016263	223.62	2023-03-01 09:30:07
65.4126271605492	-19.6420041192323	225.2	2023-03-01 09:30:10
65.4122576024383	-19.6409252844751	226.12	2023-03-01 09:30:15
65.4120077379048	-19.6399325318635	226.34	2023-03-01 09:30:19
65.4112966172397	-19.6372452098876	227.64	2023-03-01 09:30:29
65.410361783579	-19.6350248437375	227.05	2023-03-01 09:30:40
65.410036649555	-19.6343181654811	223.71	2023-03-01 09:30:44
65.4097490664572	-19.6337117347866	219.89	2023-03-01 09:30:48
